Player,Age,Tm,G,GS,MP,PER,ORB%,DRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,OBPM,DBPM,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,Year
Khris Middleton\middlkh01,28,MIL,62,59,29.9,21.1,2.5,17,22.2,1.3,0.3,11.6,26.4,4.6,3.3,3.4,0.7,471,947,0.497,147,354,0.415,208,227,0.916,44,338,265,53,7,137,142,1297,2020
Eric Mika\mikaer01,25,SAC,1,0,19,13.9,11.6,30.4,0,0,0,0,8.9,0.1,0,-2.2,-1,2,3,0.667,0,0,,2,2,1,2,5,0,0,0,0,5,6,2020
C.J. Miles\milescj01,32,WAS,10,0,16.1,11.1,2.6,5.7,10,2.9,2.2,5.6,18.6,0,0.1,-1.8,0.1,19,59,0.322,11,35,0.314,15,20,0.75,4,8,12,10,4,4,14,64,2020
Malcolm Miller\millema01,26,TOR,28,1,5.8,6.7,1.3,8.9,8.9,1.5,1.2,11,9.6,0.1,0.2,-3.5,1.2,12,29,0.414,8,22,0.364,3,8,0.375,2,14,11,5,2,4,18,35,2020
Patty Mills\millspa02,31,SAS,66,1,22.5,14.8,1.6,6.2,11.4,1.7,0.4,7.7,20.4,2.3,0.5,1.2,-1.2,258,598,0.431,154,403,0.382,97,112,0.866,22,86,118,53,6,54,105,767,2020
Paul Millsap\millspa01,34,DEN,51,48,24.3,16.9,8.9,17.6,9.6,1.8,2.2,12.3,20,2.1,1.4,0.3,-0.2,211,438,0.482,54,124,0.435,115,141,0.816,98,195,83,44,30,70,150,591,2020
Shake Milton\miltosh01,23,PHI,40,24,20.1,14.4,2.1,10,18.8,1.2,0.7,13.3,18.9,1.4,0.7,0,-1,134,277,0.484,58,135,0.43,51,65,0.785,15,73,104,20,7,47,92,377,2020
Donovan Mitchell\mitchdo01,23,UTA,69,69,34.3,18.8,2.6,11.3,21.6,1.4,0.5,11,30.8,3.2,2.2,2.4,-0.6,602,1342,0.449,173,473,0.366,278,322,0.863,53,251,294,70,14,184,172,1655,2020
Naz Mitrou-Long\mitrona01,26,IND,5,0,9.4,7.8,0,16.2,22.8,1,1.9,15,18.7,-0.1,0.1,-3.5,2.1,6,17,0.353,2,12,0.167,0,0,,0,7,8,1,1,3,2,14,2020
Adam Mokoka\mokokad01,21,CHI,11,0,10.2,8.2,6.6,3.1,5,1.7,0,6.3,12.1,0.1,0.1,-3.1,-1,12,28,0.429,6,15,0.4,2,4,0.5,7,3,4,4,0,2,17,32,2020
Malik Monk\monkma01,21,CHO,55,1,21.3,12.6,2.4,12.6,16.6,1.1,1.3,12.6,22.9,0.1,0.6,-1.1,-1.3,212,488,0.434,58,204,0.284,82,100,0.82,27,130,114,25,16,77,74,564,2020
Matt Mooney\moonema01,22,CLE,4,0,4.8,8.1,0,17.7,6.7,5.1,4.5,0,9,0,0,-5.4,5,1,4,0.25,0,2,0,0,0,,0,3,1,2,1,0,1,2,2020
E'Twaun Moore\mooreet01,30,NOP,56,6,18.2,11.3,3.2,10.4,11,1.5,0.9,8.1,19.9,0.3,0.7,-1.9,-0.8,186,437,0.426,63,167,0.377,31,45,0.689,31,100,78,32,11,40,80,466,2020
Ja Morant\moranja01,20,MEM,67,67,31,17.4,2.6,10.4,35.2,1.3,0.8,17,25.9,2.3,1.5,1.5,-1.2,447,937,0.477,60,179,0.335,239,308,0.776,51,208,488,58,18,220,110,1193,2020
Juwan Morgan\morgaju01,22,UTA,21,0,6.4,10.1,8.5,15.1,6.2,0.4,1.2,17.8,11,0.2,0.1,-2.9,-0.3,15,26,0.577,3,8,0.375,3,4,0.75,10,19,6,1,2,6,19,36,2020
Marcus Morris\morrima03,30,TOT,62,62,31.2,14.3,3.2,14,6.8,1.2,1.4,9.7,21.9,2.1,1.5,0.6,-0.7,355,810,0.438,142,348,0.408,181,220,0.823,59,252,86,47,30,97,180,1033,2020
Marcus Morris\morrima03,30,NYK,43,43,32.3,16.5,3.6,14.7,6.8,1.2,1.2,9.2,24.4,2.1,0.8,1.8,-1.1,281,636,0.442,116,264,0.439,163,198,0.823,48,185,59,34,17,73,128,841,2020
Marcus Morris\morrima03,30,LAC,19,19,28.9,8.9,2.1,12.3,6.8,1.1,2.1,11.6,15.8,0,0.7,-2.5,0.3,74,174,0.425,26,84,0.31,18,22,0.818,11,67,27,13,13,24,52,192,2020
Markieff Morris\morrima02,30,TOT,58,17,20.5,12.5,3.8,17.1,10.1,1.3,1.2,13.3,20.9,0.5,1,-1.1,-0.9,203,458,0.443,88,228,0.386,66,85,0.776,40,178,77,31,17,76,133,560,2020
Markieff Morris\morrima02,30,DET,44,16,22.5,12.7,2.7,17.3,11,1.3,0.9,14.2,21.8,0.3,0.7,-1.1,-1,175,389,0.45,75,189,0.397,61,79,0.772,24,149,69,26,11,70,104,486,2020
Markieff Morris\morrima02,30,LAL,14,1,14.2,11.5,8.9,15.8,5.4,1.2,2.7,7.7,16.5,0.2,0.3,-1.3,-0.1,28,69,0.406,13,39,0.333,5,6,0.833,16,29,8,5,6,6,29,74,2020
Monte Morris\morrimo01,24,DEN,73,12,22.4,14.9,1.6,7.7,22.1,1.7,1,8.1,17.5,2.7,1.1,0.4,-0.5,260,566,0.459,65,172,0.378,75,89,0.843,24,113,255,55,17,53,73,660,2020
Johnathan Motley\motlejo01,24,LAC,13,0,3.2,28.5,7.8,17.3,32.9,3.5,0,21.7,23.5,0.2,0.1,4.8,3.3,11,15,0.733,1,1,1,5,7,0.714,3,7,8,3,0,5,6,28,2020
Emmanuel Mudiay\mudiaem01,23,UTA,54,2,15.7,13,2.4,13.5,20.9,1.4,1,17.3,22.6,0.1,0.9,-1.8,-0.1,151,327,0.462,30,87,0.345,63,83,0.759,18,108,116,24,10,76,72,395,2020
Mychal Mulder\muldemy01,25,GSW,7,3,29.1,7.8,1.5,11,5.8,0.5,0.4,6.5,16.2,0,0,-3.3,-2.8,26,67,0.388,16,52,0.308,9,12,0.75,3,20,8,2,1,5,20,77,2020
Dejounte Murray\murrade01,23,SAS,66,58,25.6,16.2,4.4,20.1,23.1,3.1,0.9,15.4,20.8,0.7,2,-0.9,1.3,294,637,0.462,41,111,0.369,91,114,0.798,69,314,271,111,17,125,143,720,2020
Jamal Murray\murraja01,22,DEN,59,59,32.3,17.7,2.7,11.2,22.9,1.7,0.8,11.5,25.2,2.8,1.5,2,-0.8,408,894,0.456,112,324,0.346,163,185,0.881,45,191,284,67,17,127,102,1091,2020
Džanan Musa\musadz01,20,BRK,40,0,12.2,9.4,4.6,13.5,12.6,1.5,0.2,15.4,20.1,-0.3,0.5,-3.5,-0.9,64,172,0.372,19,78,0.244,45,60,0.75,21,65,43,15,1,36,30,192,2020
Mike Muscala\muscami01,28,OKC,47,2,12.2,12.5,3.2,17.3,10.1,0.8,1.8,7.9,16.6,0.7,0.6,0.1,-0.2,77,189,0.407,54,143,0.378,18,22,0.818,16,92,40,9,12,17,58,226,2020
Sviatoslav Mykhailiuk\mykhasv01,22,DET,56,27,22.6,11.2,1.5,7.9,12.3,1.6,0.3,12.3,17.1,1,0.6,-0.7,-1.2,166,405,0.41,115,285,0.404,57,70,0.814,17,87,106,41,4,61,87,504,2020
Abdel Nader\naderab01,26,OKC,55,6,15.8,11.3,1.8,10.6,6.4,1.3,2,12.8,17,0.5,0.9,-1.1,0.2,123,263,0.468,48,128,0.375,51,66,0.773,14,86,38,23,20,43,78,345,2020
Larry Nance Jr.\nancela02,27,CLE,56,10,26.3,17.3,7.9,23.1,12.3,1.9,1.3,11.5,15.2,2.8,1.1,1.4,0.4,229,431,0.531,56,159,0.352,50,74,0.676,106,303,123,56,22,60,91,564,2020
Shabazz Napier\napiesh01,28,TOT,56,32,24,13.8,2,10.9,27.8,2.4,0.7,19.7,20,0.8,0.9,-0.7,-0.4,188,456,0.412,76,240,0.317,126,153,0.824,26,132,262,69,11,128,101,578,2020
Shabazz Napier\napiesh01,28,MIN,36,22,23.8,13.9,2,11.9,31.3,2.2,0.7,19.1,19.1,0.6,0.6,-0.6,-0.2,114,283,0.403,47,159,0.296,72,88,0.818,17,93,187,40,7,76,62,347,2020
Shabazz Napier\napiesh01,28,WAS,20,10,24.4,13.6,1.9,9.1,21.7,2.8,0.7,20.5,21.6,0.1,0.3,-0.9,-0.7,74,173,0.428,29,81,0.358,54,65,0.831,9,39,75,29,4,52,39,231,2020
Raul Neto\netora01,27,PHI,54,3,12.4,12.7,1.8,8.3,20.3,1.7,0.8,16.2,18.7,0.5,0.6,-1.2,-0.6,101,222,0.455,34,88,0.386,39,47,0.83,11,50,95,24,6,47,50,275,2020
Malik Newman\newmama01,22,CLE,1,0,4,-11.4,0,0,0,0,0,25.8,41.5,0,0,-14.5,-11.2,0,2,0,0,1,0,2,2,1,0,0,0,0,0,1,0,2,2020
Georges Niang\niangge01,26,UTA,66,1,14,11.7,1.9,12.9,7,0.9,0.4,8.3,17.2,1,0.8,0.4,-0.5,141,322,0.438,90,225,0.4,20,24,0.833,15,112,44,18,5,30,75,392,2020
Joakim Noah\noahjo01,34,LAC,5,0,10,11.1,10.7,22.3,17.9,0.9,1.8,34.2,14.7,0,0.1,-4.1,2.5,4,8,0.5,0,0,,6,8,0.75,5,11,7,1,1,6,9,14,2020
Nerlens Noel\noelne01,25,OKC,61,7,18.5,20.4,9.2,19.9,7.6,2.5,6.9,17.3,14.9,2.6,2.3,-0.3,3.4,184,269,0.684,1,3,0.333,80,106,0.755,91,209,57,59,91,66,166,449,2020
Zach Norvell\norveza01,22,TOT,5,0,8.2,2.6,0,16.3,10.2,2.3,0,19.4,16.1,-0.1,0,-7.1,-1.2,3,12,0.25,3,8,0.375,1,1,1,0,6,3,2,0,3,4,10,2020
Zach Norvell\norveza01,22,LAL,2,0,2.5,-5.6,0,21.6,0,0,0,0,8.4,0,0,-10.3,-2.5,0,1,0,0,0,,0,0,,0,1,0,0,0,0,0,0,2020
Zach Norvell\norveza01,22,GSW,3,0,12,3.7,0,15.6,11.7,2.7,0,20.8,17.1,-0.1,0,-6.7,-1,3,11,0.273,3,8,0.375,1,1,1,0,5,3,2,0,3,4,10,2020
Jaylen Nowell\nowelja01,20,MIN,15,0,10.1,10.5,2,7.3,17.8,0.9,0.6,4.7,17.3,0.1,0,-2.9,-0.8,19,53,0.358,3,26,0.115,16,17,0.941,3,10,19,3,1,3,11,57,2020
Frank Ntilikina\ntilila01,21,NYK,57,26,20.8,9.8,2,9.1,20.2,2.2,1.3,16.5,15.4,0.1,0.8,-3.6,0.4,131,333,0.393,44,137,0.321,51,59,0.864,23,98,172,54,16,71,142,357,2020
Kendrick Nunn\nunnke01,24,MIA,67,67,29.3,12.9,1.2,8.7,18.5,1.4,0.8,10.6,24.1,0.4,1.6,-1,-1.3,401,914,0.439,137,391,0.35,85,100,0.85,21,159,220,56,15,114,152,1024,2020
Jusuf Nurkić\nurkiju01,25,POR,8,8,31.6,22.6,9.6,24.1,19.1,2.1,5.4,13.2,24,0.5,0.3,1,0.9,54,109,0.495,2,10,0.2,31,35,0.886,23,59,32,11,16,19,39,141,2020
David Nwaba\nwabada01,27,BRK,20,0,13.4,14,3.2,14,4.3,1.9,3.7,8.8,14.2,0.4,0.4,-1,2,37,71,0.521,12,28,0.429,18,27,0.667,8,37,8,11,12,8,32,104,2020
Royce O'Neale\onealro01,26,UTA,71,62,28.9,9.5,1.5,18.8,11.6,1.4,1.3,13.5,9.6,1.8,2.5,-1.3,2.2,158,365,0.433,92,244,0.377,42,55,0.764,27,362,180,59,32,61,202,450,2020
Kyle O'Quinn\oquinky01,29,PHI,29,2,10.8,18.6,12,29,22.7,1.1,6.5,17.6,15.7,0.5,0.6,0.3,2.7,42,85,0.494,7,27,0.259,11,20,0.55,34,82,51,7,24,20,37,102,2020
Semi Ojeleye\ojelese01,25,BOS,69,6,14.7,7.7,2.8,12.5,4.7,1,0.5,8.3,9.7,0.8,1,-2.1,0.4,80,196,0.408,48,127,0.378,28,32,0.875,26,119,37,21,5,19,80,236,2020
Jahlil Okafor\okafoja01,24,NOP,30,9,15.6,18.3,10.9,18,12,0.7,3.9,16.7,19.9,0.9,0.4,-0.5,0.3,101,162,0.623,1,3,0.333,40,62,0.645,48,79,37,7,22,38,67,243,2020
Elie Okobo\okoboel01,22,PHO,55,3,13.1,10.6,2.4,11.6,21.2,1.6,0.5,15.2,14.8,0.5,0.5,-1.9,0,72,181,0.398,25,71,0.352,50,71,0.704,16,74,115,24,4,38,54,219,2020
Josh Okogie\okogijo01,21,MIN,62,28,25,11.5,5.7,12.8,8.9,2,1.4,15.3,15.1,0.9,1.2,-2.4,0,170,398,0.427,41,154,0.266,152,191,0.796,87,181,99,68,26,87,139,533,2020
KZ Okpala\okpalkz01,20,MIA,5,0,5.2,13.7,4.5,16.6,5.5,3.8,3.8,14.5,11.7,0,0,-1.3,4,3,5,0.6,0,1,0,1,2,0.5,1,4,1,2,1,1,2,7,2020
Victor Oladipo\oladivi01,27,IND,19,16,27.8,11.3,1.9,13.6,15.4,1.6,0.7,14.7,26.5,-0.6,0.6,-2.2,-1.1,97,246,0.394,33,104,0.317,48,59,0.814,9,66,56,17,4,47,36,275,2020
Kelly Olynyk\olynyke01,28,MIA,67,9,19.4,14.6,3.9,21.6,13.3,1.7,1.8,13.8,17.4,1.9,1.8,0,1,184,398,0.462,95,234,0.406,86,100,0.86,44,261,116,45,23,71,173,549,2020
Miye Oni\onimi01,22,UTA,10,1,10.9,9.7,5.2,11.7,5.1,1.8,1.5,10.5,15.3,0,0.1,-3.2,-1,12,32,0.375,7,19,0.368,4,5,0.8,5,12,4,4,2,4,9,35,2020
Cedi Osman\osmande01,24,CLE,65,65,29.4,10.7,2.2,11.3,11.6,1.4,0.7,12.3,16.6,1,0.6,-1.7,-0.9,266,609,0.437,123,321,0.383,63,94,0.67,39,192,154,54,16,91,160,718,2020
Kelly Oubre Jr.\oubreke01,24,PHO,56,55,34.5,14.9,3.8,17.1,6.6,1.7,1.8,8.2,22.4,1.7,2.1,-0.3,-0.3,373,826,0.452,108,307,0.352,192,246,0.78,67,294,85,71,40,83,192,1046,2020
Tariq Owens\owensta01,24,PHO,3,0,5,8.4,14.6,7.5,0,3.2,0,0,16.7,0,0,-3.1,-2.7,1,5,0.2,0,2,0,2,2,1,2,1,0,1,0,0,1,4,2020
Jeremy Pargo\pargoje01,33,GSW,3,0,14.7,12.6,2.4,5.1,33.2,1.1,0,15.1,25.7,0,0,-2.8,-3,11,22,0.5,3,7,0.429,0,1,0,1,2,8,1,0,4,8,25,2020
Jabari Parker\parkeja01,24,TOT,38,23,24.1,18,7.1,18.3,12.4,2.3,1.5,12.1,24,0.8,0.8,0.6,-0.3,219,429,0.51,32,119,0.269,61,81,0.753,61,153,68,45,16,64,99,531,2020
Jabari Parker\parkeja01,24,ATL,32,23,26.2,17.2,6.9,17.9,11.6,2.3,1.5,12.4,24,0.5,0.7,0.3,-0.3,198,393,0.504,31,115,0.27,53,72,0.736,54,137,58,42,15,60,93,480,2020
Jabari Parker\parkeja01,24,SAC,6,0,13.3,26.5,9.6,23.1,21.5,1.8,1.2,9.1,23.8,0.3,0.1,3.5,-0.9,21,36,0.583,1,4,0.25,8,9,0.889,7,16,10,3,1,4,6,51,2020
Chandler Parsons\parsoch01,31,ATL,5,0,10.8,5.6,2,12.1,7.5,3.5,1.6,14.3,16.1,-0.1,0,-4.7,-1.4,5,18,0.278,4,14,0.286,0,0,,1,6,3,4,1,3,3,14,2020
Eric Paschall\pascher01,23,GSW,60,26,27.6,14.5,5.2,13.1,12.7,0.9,0.7,11.4,21.4,1.6,0.5,-0.7,-2,318,640,0.497,37,129,0.287,164,212,0.774,82,193,127,32,13,94,125,837,2020
Anžejs Pasečņiks\pasecan01,24,WAS,27,0,16.2,11.3,10.1,16.9,5.7,1,2.4,14.5,15.8,0.3,0.2,-4.1,-1.5,61,116,0.526,0,3,0,34,58,0.586,42,65,18,9,12,24,75,156,2020
Patrick Patterson\pattepa01,30,LAC,59,18,13.2,11.5,4.8,15.1,7.2,0.4,0.3,7.7,14.7,1.1,0.8,0.8,-0.5,95,233,0.408,67,172,0.39,35,43,0.814,35,116,41,7,3,21,54,292,2020
Justin Patton\pattoju01,22,OKC,5,0,4.8,4.7,4.7,17.9,12.6,0,0,16.7,22,-0.1,0,-6.8,-3.3,4,10,0.4,1,4,0.25,0,0,,1,4,2,0,0,2,4,9,2020
Chris Paul\paulch01,34,OKC,70,70,31.5,21.7,1.3,15.7,34,2.4,0.4,13.8,23.3,5.9,3,3,1.4,434,887,0.489,111,304,0.365,253,279,0.907,26,323,472,111,11,161,158,1232,2020
Cameron Payne\payneca01,25,PHO,8,0,22.9,15.7,2.4,16.6,19.5,2.1,1,13.4,19.1,0.3,0.2,0.5,1,33,68,0.485,15,29,0.517,6,7,0.857,4,27,24,8,2,11,20,87,2020
Elfrid Payton\paytoel01,25,NYK,45,36,27.7,16,4.3,14.1,38.6,2.7,1.3,16.7,19.5,0.5,1.2,-0.4,0.4,193,440,0.439,14,69,0.203,49,86,0.57,52,160,323,70,17,96,89,449,2020
Gary Payton II\paytoga02,27,WAS,29,17,14.9,11.3,6.3,14.2,14.8,3.6,1.4,14.3,13.4,0,0.4,-3.2,1.6,48,116,0.414,13,46,0.283,4,8,0.5,26,54,48,33,7,20,54,113,2020
Norvel Pelle\pelleno01,26,PHI,24,0,9.7,10.5,9.5,24.8,4.6,0.6,11.4,24.9,13.4,-0.2,0.5,-7.8,2.6,25,48,0.521,0,1,0,7,14,0.5,20,52,8,3,31,18,55,57,2020
Theo Pinson\pinsoth01,24,BRK,33,0,11.1,5.2,2.9,12.2,21.7,2.2,0.9,16.9,22.3,-1,0.4,-6.8,-0.2,45,155,0.29,15,80,0.188,15,16,0.938,10,44,56,17,4,33,35,120,2020
Mason Plumlee\plumlma01,29,DEN,61,1,17.3,18.8,10.4,23.2,20.9,1.5,3.3,18.7,18,2,1.4,0.3,1.7,177,288,0.615,0,5,0,83,155,0.535,98,219,154,33,38,82,143,437,2020
Jakob Poeltl\poeltja01,24,SAS,66,18,17.7,19.1,12.1,22.5,13.6,1.5,7.1,15.1,13.2,2.4,1.6,0.5,2,166,266,0.624,0,0,,40,86,0.465,131,244,116,37,95,54,126,372,2020
Vincent Poirier\poirivi01,26,BOS,22,0,5.9,12.7,10.8,24.4,8.5,0.7,6.4,17,15.4,0.1,0.2,-4.8,1,17,36,0.472,1,2,0.5,6,7,0.857,13,30,8,2,9,8,25,41,2020
Shamorie Ponds\pondssh01,21,TOR,4,0,2.8,33.1,0,9.4,32.4,0,8.9,0,22.8,0.1,0,8.4,5.3,3,5,0.6,1,2,0.5,2,2,1,0,1,2,0,1,0,2,9,2020
Jordan Poole\poolejo01,20,GSW,57,14,22.4,7.2,0.7,9.6,15.8,1.3,0.7,11.8,21.1,-1.6,0.4,-4.4,-2.2,167,502,0.333,74,265,0.279,95,119,0.798,9,109,134,35,10,74,94,503,2020
Kevin Porter Jr.\porteke02,19,CLE,50,3,23.2,10.8,2.1,13.5,13.9,1.9,1,16.7,20.5,-0.3,0.6,-3.2,-0.6,186,421,0.442,53,158,0.335,73,101,0.723,22,140,109,46,14,93,135,498,2020
Michael Porter Jr.\portemi01,21,DEN,55,8,16.4,19.8,8.2,23.9,7.9,1.5,2.6,10.6,22.3,1.8,1.1,2.4,-0.8,195,383,0.509,62,147,0.422,60,72,0.833,66,193,46,27,25,49,100,512,2020
Otto Porter\porteot01,26,CHI,14,9,23.6,15.8,4.1,12.3,11.9,2.2,1.7,6.8,21,0.4,0.4,0.8,0.2,62,140,0.443,24,62,0.387,19,27,0.704,13,35,25,15,6,11,31,167,2020
Bobby Portis\portibo01,24,NYK,66,5,21.1,14.6,6,20.4,11.1,1.1,1.2,10.4,21.4,0.9,1,0,-1.1,265,589,0.45,67,187,0.358,71,93,0.763,80,258,98,32,18,73,110,668,2020
Kristaps Porziņģis\porzikr01,24,DAL,57,57,31.8,20.2,5.9,25.1,8.8,1.1,5.4,8,27,2.6,2.6,1.8,0.1,398,932,0.427,142,403,0.352,226,283,0.799,100,440,102,41,115,92,185,1164,2020
Dwight Powell\poweldw01,28,DAL,40,37,26.5,15.9,7.5,14.8,7.7,1.5,1.8,11.5,12.6,2.6,1,0.4,0.9,146,229,0.638,10,39,0.256,74,111,0.667,75,152,59,34,22,36,102,376,2020
Norman Powell\powelno01,26,TOR,52,26,28.4,16.8,1.9,11.4,9.7,1.9,1.4,10.4,21.5,2.3,2.3,1.2,0.8,296,598,0.495,109,273,0.399,129,153,0.843,26,164,91,60,21,77,108,830,2020
Taurean Prince\princta02,25,BRK,64,61,29,9.1,2.8,18.1,9.2,1.5,1.1,14,20.4,-1.7,2.3,-2.8,-0.1,278,739,0.376,146,431,0.339,71,89,0.798,50,331,116,57,25,127,159,773,2020
Chasson Randle\randlch01,26,GSW,3,0,13.3,6.7,0,5.6,15.7,2.4,0,0,7.1,0,0,-6,0.2,0,4,0,0,2,0,5,6,0.833,0,2,5,2,0,0,3,5,2020
Julius Randle\randlju01,25,NYK,64,64,32.5,17.5,7.5,24.9,15.8,1.2,1,14.3,27.6,0.9,1.8,0.7,-1,463,1006,0.46,64,231,0.277,258,352,0.733,151,471,198,51,22,193,178,1248,2020
Josh Reaves\reavejo02,22,DAL,4,0,7,5.8,3.8,7.4,14.2,0,0,0,15.1,0,0,-5.9,-4,3,9,0.333,0,2,0,2,2,1,1,2,3,0,0,0,5,8,2020
Cam Reddish\reddica01,20,ATL,58,34,26.7,9,2.4,12.7,8,1.9,1.5,13.6,18.9,-1.2,0.8,-3.3,-1,213,554,0.384,83,250,0.332,101,126,0.802,35,181,87,62,28,96,132,610,2020
J.J. Redick\redicjj01,35,NOP,60,36,26.4,15.4,0.7,9.5,10.8,0.6,0.5,9.5,20.4,3.6,0.6,2.3,-1.7,286,631,0.453,180,397,0.453,165,185,0.892,10,141,119,20,10,75,96,917,2020
Naz Reid\reidna01,20,MIN,30,11,16.5,15.3,7,19.9,11.2,1.8,3.7,7.6,24,0.2,0.6,-1.6,-0.3,100,243,0.412,32,97,0.33,37,53,0.698,34,90,35,19,22,22,83,269,2020
Josh Richardson\richajo01,26,PHI,55,53,30.8,12,2.7,8.7,13.9,1.5,1.8,12.8,20.6,0.5,1.7,-1.4,-0.4,278,646,0.43,85,249,0.341,114,141,0.809,41,133,162,52,36,104,136,755,2020
Austin Rivers\riverau01,27,HOU,68,4,23.4,10.4,1.8,9.8,10,1.4,0.5,8.3,15.6,1.2,1.2,-2.1,-0.4,211,501,0.421,96,270,0.356,78,111,0.703,27,148,113,49,10,50,129,596,2020
Andre Roberson\roberan03,28,OKC,7,0,12.4,5.4,9.2,24.7,6.3,0.6,3,6.3,16.1,-0.1,0.1,-5.2,-0.1,8,29,0.276,3,14,0.214,1,2,0.5,7,20,4,1,3,2,13,20,2020
Duncan Robinson\robindu01,25,MIA,73,68,29.7,13.1,0.5,11,7.1,0.8,0.9,8.9,16,3.7,1.6,1.5,-1,323,687,0.47,270,606,0.446,67,72,0.931,10,222,102,35,19,70,193,983,2020
Glenn Robinson III\robingl02,26,TOT,62,52,28.8,13.3,4.8,11.9,8.4,1.5,0.8,8,16.4,2,0.9,-0.5,-1.2,288,592,0.486,77,197,0.391,74,86,0.86,81,189,96,54,16,55,100,727,2020
Glenn Robinson III\robingl02,26,GSW,48,48,31.6,13.1,4.6,11.9,8.8,1.4,0.8,8.5,16.6,1.5,0.6,-0.6,-1.2,244,507,0.481,68,170,0.4,63,74,0.851,66,160,85,45,14,50,82,619,2020
Glenn Robinson III\robingl02,26,PHI,14,4,19.3,14.7,6.1,11.9,5.9,1.6,0.6,5.2,15.2,0.5,0.3,0,-1.3,44,85,0.518,9,27,0.333,11,12,0.917,15,29,11,9,2,5,18,108,2020
Jerome Robinson\robinje01,22,TOT,63,6,15.5,7.4,1.4,12.8,11.9,1.3,1.5,12.8,16.4,-0.6,0.8,-3.8,-0.2,115,310,0.371,49,153,0.32,40,57,0.702,13,116,87,28,17,49,112,319,2020
Jerome Robinson\robinje01,22,LAC,42,1,11.3,4.8,1.1,11.7,12.6,1.3,1.5,15.3,15,-0.6,0.6,-5.3,0.6,46,136,0.338,19,67,0.284,11,19,0.579,5,55,46,13,8,26,55,122,2020
Jerome Robinson\robinje01,22,WAS,21,5,24,9.8,1.7,13.8,11.3,1.4,1.6,10.8,17.7,0,0.2,-2.2,-0.9,69,174,0.397,30,86,0.349,29,38,0.763,8,61,41,15,9,23,57,197,2020
Justin Robinson\robinju01,22,WAS,9,0,5.4,8.2,2.1,9.3,18.8,0,1.8,20,12.7,0,0,-2.6,-3.1,5,12,0.417,3,5,0.6,0,0,,1,4,7,0,1,3,2,13,2020
Mitchell Robinson\robinmi01,21,NYK,61,7,23.1,23.5,13.7,18.8,3.9,1.8,8,8.3,13.3,4.8,2,1.6,1.4,253,341,0.742,0,0,,84,148,0.568,186,242,36,52,119,37,194,590,2020
Isaiah Roby\robyis01,21,OKC,3,0,3.7,-7.7,0,19.5,0,0,0,50,8,-0.1,0,-12.1,-3.4,0,1,0,0,0,,0,0,,0,2,0,0,0,1,1,0,2020
Rajon Rondo\rondora01,33,LAL,48,3,20.5,12.4,2.6,13.1,32.9,1.9,0.2,20.8,18.7,0.1,1.3,-1.2,-0.1,137,328,0.418,41,125,0.328,27,41,0.659,23,119,240,40,2,91,58,342,2020
Derrick Rose\rosede01,31,DET,50,15,26,21,2.3,8.3,40.5,1.5,1,13.4,31.6,1.8,0.7,3.9,-1.7,369,753,0.49,45,147,0.306,121,139,0.871,27,94,278,40,16,126,49,904,2020
Terrence Ross\rosste01,28,ORL,69,0,27.4,14,0.7,12.3,6.8,2,1.1,7,22.8,1.1,2,-0.1,-0.3,341,846,0.403,177,504,0.351,157,184,0.853,13,209,82,77,24,70,109,1016,2020
Terry Rozier\roziete01,25,CHO,63,63,34.3,14.8,2.4,11.8,20.4,1.4,0.4,12.1,23.7,1.9,1.1,0.8,-1.2,398,941,0.423,172,423,0.407,166,190,0.874,50,226,259,61,10,141,126,1134,2020
Ricky Rubio\rubiori01,29,PHO,65,65,31,16.5,2.5,14.4,39.7,2.2,0.5,17.9,20.4,2.9,2,0.7,0.2,287,692,0.415,78,216,0.361,195,226,0.863,46,258,570,94,11,173,167,847,2020
D'Angelo Russell\russeda01,23,TOT,45,45,32.3,18.7,1.2,12.3,35.2,1.6,0.8,13.6,31.5,1.1,0.7,3.8,-1.9,360,846,0.426,158,431,0.367,161,199,0.809,17,160,285,48,13,147,86,1039,2020
D'Angelo Russell\russeda01,23,GSW,33,33,32.1,19.1,1.4,11.4,36,1.4,0.8,12.6,32.2,0.9,0.4,4.5,-1.9,273,635,0.43,120,321,0.374,113,144,0.785,14,108,206,31,9,101,64,779,2020
D'Angelo Russell\russeda01,23,MIN,12,12,32.7,17.6,0.8,14.5,33.1,2,0.8,16.4,29.5,0.2,0.3,1.8,-1.7,87,211,0.412,38,110,0.345,48,55,0.873,3,52,79,17,4,46,22,260,2020
Domantas Sabonis\sabondo01,23,IND,62,62,34.8,20.7,9.7,29.3,21.7,1.1,1.2,14.8,23.3,4.1,3.4,2,1.2,458,848,0.54,17,67,0.254,214,296,0.723,189,582,310,47,30,170,195,1147,2020
Luka Šamanić\samanlu01,20,SAS,3,1,16,8.8,2.2,20.2,16.3,0,3.7,10.1,17.8,0,0,-2.4,-1.7,5,16,0.313,3,8,0.375,3,4,0.75,1,9,6,0,2,2,6,16,2020
JaKarr Sampson\sampsja02,26,IND,34,12,13.9,12.6,4.7,15.7,6.1,1.6,2.2,10.6,13.2,0.6,0.7,-2.8,1.4,68,115,0.591,2,13,0.154,18,27,0.667,20,68,21,16,12,15,64,156,2020
