Player,Age,Tm,G,GS,MP,PER,ORB%,DRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,OBPM,DBPM,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,Year
Brandon Knight\knighbr03,28,CLE,16,0,15.1,5.4,1.4,7.9,18,1,0.7,14.9,19.1,-0.3,0,-3.9,-2.7,28,86,0.326,19,64,0.297,4,13,0.308,3,17,31,5,2,16,20,79,2020
Brandon Knight\knighbr03,28,DET,9,3,24.6,11.9,0.5,10.4,25.6,1.1,0.4,19.6,22.2,0.1,0.1,0.5,-2.5,31,81,0.383,26,67,0.388,16,21,0.762,1,20,38,5,1,22,20,104,2020
Kevin Knox\knoxke01,20,NYK,65,4,17.9,8.3,2.5,14.7,7.4,1,2.3,9.2,17.8,-0.5,0.7,-3.1,-1.1,144,401,0.359,65,199,0.327,66,101,0.653,28,156,61,23,28,45,106,419,2020
John Konchar\konchjo01,23,MEM,19,0,9.5,18,10.7,16.6,16.2,1.8,1.5,15.6,10.3,0.5,0.2,2.5,2,24,37,0.649,5,10,0.5,1,2,0.5,18,29,22,7,3,7,7,54,2020
Furkan Korkmaz\korkmfu01,22,PHI,72,12,21.7,12,1.3,10.6,7.3,1.3,0.9,8.8,18.4,1.4,1.4,-0.3,-1,242,563,0.43,143,356,0.402,77,102,0.755,18,150,79,41,16,59,98,704,2020
Luke Kornet\kornelu01,24,CHI,36,14,15.5,12.7,4.1,12.9,8.5,0.9,4.4,6.6,16.3,0.5,0.6,-0.9,-0.2,82,187,0.439,31,108,0.287,20,28,0.714,22,62,32,11,26,14,54,215,2020
Kyle Korver\korveky01,38,MIL,58,1,16.6,11.3,1.6,10.4,9.2,1.2,1.1,13.4,15.4,0.9,1.5,-0.6,0.7,126,293,0.43,99,237,0.418,35,41,0.854,15,107,68,26,12,48,78,386,2020
Rodions Kurucs\kurucro01,21,BRK,47,9,14.6,8.9,3.9,16.6,10.4,1.7,0.6,19.2,14.7,-0.1,0.8,-3.6,0.8,79,177,0.446,33,90,0.367,24,38,0.632,25,112,51,25,5,46,90,215,2020
Kyle Kuzma\kuzmaky01,24,LAL,61,9,25,12.2,3.8,15.7,7.6,0.9,1.5,11,22.9,0.1,1.9,-1.6,-1,291,668,0.436,86,272,0.316,114,155,0.735,52,221,80,28,26,91,126,782,2020
Skal Labissière\labissk01,23,POR,33,1,17.2,15.4,12.1,19,10.1,0.6,4.7,15.7,14.3,1,0.4,-1.5,0.2,81,147,0.551,3,13,0.231,25,33,0.758,65,104,42,7,31,30,89,190,2020
